state_data.timeStamp_state,has_state_data,state_data.state_x,state_data.state_vx,state_data.state_ax,state_data.state_apo
196316433,1,3455.66,184.715,-14.2162,5000.79
196321688,1,3468.57,184.56,-14.135,5011.93
196326882,1,3481.28,184.40099999999998,-14.0417,5022.75
196332100,1,3494.12,184.207,-13.9801,5033.32
196337318,1,3506.89,183.993,-13.8713,5043.49
196342561,1,3519.58,183.755,-13.8251,5053.31
196348280,1,3533.16,183.459,-13.9048,5062.66
196354761,1,3547.85,183.105,-13.8781,5072.06
196359762,1,3559.99,182.93,-13.7585,5081.71
196364805,1,3572.03,182.72099999999998,-13.7282,5091.44
196370022,1,3584.39,182.46599999999998,-13.6736,5100.57
196375271,1,3596.71,182.201,-13.5316,5109.32
196380458,1,3608.76,181.921,-13.5665,5117.89
196385677,1,3620.96,181.614,-13.5705,5125.95
196390895,1,3633.04,181.28099999999998,-13.5202,5133.75
196397498,1,3647.58,180.831,-13.4435,5141.04
196402750,1,3659.61,180.56599999999997,-13.4883,5149.3
196407943,1,3671.27,180.27200000000002,-13.3418,5157.61
196413162,1,3683.12,179.96200000000002,-13.2908,5165.11
196418381,1,3694.88,179.63099999999997,-13.2512,5172.57
196423622,1,3706.57,179.28599999999997,-13.2128,5179.63
196428816,1,3717.98,178.92700000000002,-13.2256,5186.39
196435823,1,3732.67,178.40099999999998,-13.1907,5192.68
196440824,1,3743.83,178.139,-13.155,5199.78
196445869,1,3754.61,177.795,-13.0337,5207.23
196451086,1,3765.71,177.416,-12.9854,5213.08
196456334,1,3776.91,177.05200000000002,-12.9626,5218.74
196461520,1,3787.94,176.696,-12.9092,5224.91
196466992,1,3799.43,176.291,-12.92,5230.9
196472028,1,3810.19,175.92700000000002,-12.8368,5236.64
196478558,1,3823.46,175.4,-12.8606,5242.22
196483784,1,3834.37,175.02200000000002,-12.8806,5247.98
196489002,1,3845.31,174.64700000000002,-12.8151,5253.5
196494221,1,3856.06,174.238,-12.7232,5259.11
196499438,1,3866.65,173.803,-12.6451,5264.01
196504681,1,3877.27,173.37400000000002,-12.5681,5268.36
196509873,1,3887.69,172.952,-12.5256,5273.04
196516882,1,3901.31,172.34900000000002,-12.5369,5277.51
196521883,1,3911.43,171.98,-12.5557,5282.58
196526920,1,3921.54,171.604,-12.4737,5287.5
196532138,1,3931.66,171.142,-12.4137,5292.31
196537386,1,3941.71,170.667,-12.4069,5295.86
196542574,1,3951.58,170.202,-12.3553,5299.17
196547792,1,3961.51,169.709,-12.2986,5302.42
196553008,1,3971.58,169.24099999999999,-12.2408,5305.52
196559606,1,3983.84,168.65099999999998,-12.2334,5309.03
196564858,1,3993.79,168.202,-12.1994,5313.02
196570053,1,4003.48,167.743,-12.1959,5316.68
196575269,1,4013.3,167.268,-12.1445,5319.91
196580731,1,4023.16,166.72099999999998,-12.1221,5323.05
196585789,1,4032.3,166.215,-12.1029,5325.2
196590981,1,4041.53,165.688,-12.015999999999998,5327.37
196598359,1,4054.29,164.922,-11.9178,5329.28
196603360,1,4063.26,164.44099999999997,-11.8591,5331.39
196608396,1,4072.2,163.955,-11.8862,5333.68
196613614,1,4081.48,163.45,-11.8723,5335.84
196618861,1,4090.76,162.944,-11.9046,5338.12
196624049,1,4099.81,162.438,-11.9254,5340.34
196629266,1,4108.91,161.90200000000002,-11.86,5342.54
196634483,1,4117.92,161.357,-11.8018,5344.28
196641077,1,4128.83,160.634,-11.8472,5345.81
196646328,1,4137.59,160.063,-11.7327,5346.78
196651523,1,4146.2,159.514,-11.6519,5347.67
196656741,1,4154.87,158.941,-11.6427,5348.71
196661957,1,4163.59,158.384,-11.5905,5349.68
196667199,1,4172.25,157.821,-11.5846,5350.84
196672393,1,4180.69,157.263,-11.5502,5351.88
196679399,1,4192.01,156.48,-11.581,5352.74
196684400,1,4200.13,155.91899999999998,-11.6346,5353.42
196689429,1,4208.11,155.336,-11.6411,5353.91
196694862,1,4216.55,154.678,-11.6251,5354.17
196699927,1,4224.26,154.05700000000002,-11.5051,5353.79
196705114,1,4232.01,153.416,-11.4234,5353.19
196710332,1,4239.84,152.761,-11.3461,5352.34
196715550,1,4247.71,152.124,-11.2862,5351.37
196722133,1,4257.52,151.338,-11.2447,5350.85
196727387,1,4265.33,150.705,-11.2067,5350.28
196732581,1,4272.99,150.091,-11.2023,5349.75
196737799,1,4280.72,149.457,-11.2359,5349.29
196743017,1,4288.45,148.827,-11.3075,5348.65
196748260,1,4296.11,148.192,-11.2818,5348.04
196753451,1,4303.41,147.54,-11.2284,5347.57
196760460,1,4313.39,146.641,-11.1878,5346.4
196765461,1,4320.41,145.98,-11.1331,5344.69
196770487,1,4327.33,145.312,-11.0422,5343.11
196775705,1,4334.52,144.631,-11.0484,5341.3
196780951,1,4341.73,143.963,-10.9642,5339.92
196786138,1,4348.78,143.319,-10.9206,5338.59
196791357,1,4355.94,142.66299999999998,-10.9496,5337.41
196796575,1,4363.04,142.005,-10.9359,5336.16
196803157,1,4371.91,141.188,-10.9347,5334.83
196808616,1,4379.11,140.474,-11.0198,5333.54
196813626,1,4385.69,139.806,-10.9614,5331.77
196818845,1,4392.46,139.109,-10.9546,5329.92
196824062,1,4399.19,138.416,-10.9029,5327.92
196829303,1,4405.77,137.711,-10.8633,5326.07
196834497,1,4412.17,137.02100000000002,-10.790999999999999,5323.95
196841506,1,4421.0,136.067,-10.7485,5321.81
196846507,1,4427.02,135.329,-10.7613,5318.84
196851527,1,4433.03,134.607,-10.7456,5315.71
196856743,1,4439.33,133.878,-10.7436,5313.05
196861991,1,4445.62,133.162,-10.6585,5310.51
196867179,1,4451.71,132.457,-10.7166,5308.09
196872397,1,4457.88,131.74200000000002,-10.6725,5305.62
196877612,1,4464.01,131.031,-10.6844,5303.25
196884190,1,4471.76,130.148,-10.7211,5300.91
196889442,1,4477.69,129.393,-10.7074,5298.15
196894637,1,4483.45,128.657,-10.7226,5295.07
196899855,1,4489.26,127.90799999999999,-10.6735,5292.04
196905071,1,4494.96,127.154,-10.668,5289.2
196910314,1,4500.65,126.41,-10.6164,5286.1
196915507,1,4506.18,125.68700000000001,-10.5428,5283.08
196922513,1,4513.95,124.696,-10.5526,5280.15
196927514,1,4519.18,123.928,-10.5358,5276.61
196932526,1,4524.4,123.177,-10.4997,5273.04
196937743,1,4529.75,122.397,-10.4956,5269.65
196942991,1,4535.16,121.64200000000001,-10.478,5266.07
196948177,1,4540.29,120.885,-10.4423,5263.02
196953396,1,4545.44,120.113,-10.4383,5259.68
196958614,1,4550.54,119.34100000000001,-10.4889,5256.17
196965182,1,4557.12,118.398,-10.4262,5252.6
196970435,1,4562.16,117.60799999999999,-10.4706,5248.81
196975629,1,4566.94,116.818,-10.4079,5245.18
196980846,1,4571.79,116.024,-10.4346,5241.28
196986064,1,4576.61,115.238,-10.3867,5237.42
196991305,1,4581.38,114.461,-10.3473,5233.79
196996498,1,4586.02,113.706,-10.2919,5230.24
197003506,1,4592.75,112.693,-10.3039,5226.77
197008507,1,4597.2,111.906,-10.2533,5222.62
