Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-25-27-271,-0.48,1.06,-0.41,0.08,1.3,-1.14,0.02,-0.05,1.04,41.49,-89.5,221877,0,0,0,0,0.1,0.09,1.07,21.95,205.92,NO SIGN,1,-64,6.8,434,0
2022-5-7--11-25-27-701,-0.51,1.06,-0.44,0.35,1,-1.29,0.02,-0.07,1.04,41.49,-89.5,222205,0,0,0,0,0.11,0.09,1.07,21.95,205.83,NO SIGN,1,-63,7.72,434,0
2022-5-7--11-25-28-131,-0.48,1.1,-0.44,0.29,0.79,-0.98,0.03,-0.06,1.04,41.49,-89.5,221536,0,0,0,0,0.12,0.09,1.07,21.95,205.83,NO SIGN,1,-65,7.74,434,0
2022-5-7--11-25-28-560,-0.52,1.06,-0.45,0.44,0.62,-1.83,0.04,-0.05,1.03,41.49,-89.5,221739,0,0,0,0,0.11,0.08,1.07,21.95,205.75,NO SIGN,1,-63,7.72,434,0
2022-5-7--11-25-28-998,-0.48,1.11,-0.43,0.33,1.01,-1.38,0.04,-0.06,1.02,41.49,-89.5,221950,0,0,0,0,0.12,0.08,1.07,21.95,206.01,NO SIGN,1,-64,7.77,434,0
2022-5-7--11-25-29-420,-0.52,1.06,-0.45,0.41,1.02,-0.77,0.02,-0.07,1.04,41.49,-89.5,222410,0,0,0,0,0.11,0.08,1.07,21.96,205.75,NO SIGN,1,-64,7.77,434,0
2022-5-7--11-25-29-850,-0.48,1.06,-0.41,0.38,1.01,-0.92,0.02,-0.06,1.03,41.49,-89.5,222387,0,0,0,0,0.11,0.09,1.06,21.96,205.84,NO SIGN,1,-64,7.74,434,0
2022-5-7--11-25-30-280,-0.47,1.06,-0.4,0.46,0.88,-1.76,0.03,-0.05,1.03,41.49,-89.5,222121,0,0,0,0,0.11,0.09,1.07,21.96,205.93,NO SIGN,1,-66,7.75,434,0
2022-5-7--11-25-30-709,-0.48,1.11,-0.45,0.5,1.42,-1.19,-0.01,-0.07,1.03,41.49,-89.5,222005,0,0,0,0,0.13,0.11,1.07,21.96,205.75,NO SIGN,1,-68,7.75,434,0
2022-5-7--11-25-31-139,-0.48,1.06,-0.42,0.51,1.39,-1.19,0,-0.06,1.03,41.49,-89.5,221824,0,0,0,0,0.12,0.1,1.07,21.96,205.58,NO SIGN,1,-68,7.73,434,0
2022-5-7--11-25-31-569,-0.48,1.06,-0.41,1.35,1.09,-1.09,0.02,-0.04,1.04,41.49,-89.5,221960,0,0,0,0,0.11,0.09,1.07,21.96,205.93,NO SIGN,1,-69,7.74,434,0
2022-5-7--11-25-31-999,-0.48,1.08,-0.41,-0.01,1.24,-1.14,0.04,-0.04,1.04,41.49,-89.5,222007,0,0,0,0,0.11,0.08,1.07,21.96,205.93,NO SIGN,1,-69,7.75,434,0
