Time	Altitude	Temp.	Voltage
39.25	887	63.8F	9.5
39.30	886	63.7F	9.5
39.35	886	63.7F	9.5
39.40	885	63.7F	9.5
39.45	884	63.8F	9.5
39.50	883	63.7F	9.5
39.55	882	63.7F	9.5
39.60	882	63.7F	9.5
39.65	881	63.7F	9.5
39.70	878	63.7F	9.5
39.75	876	63.7F	9.5
39.80	872	63.7F	9.5
39.85	875	63.7F	9.5
39.90	876	63.7F	9.5
39.95	872	63.7F	9.5
40.00	869	63.8F	9.5
40.05	870	63.7F	9.5
40.10	870	63.7F	9.5
40.15	869	63.7F	9.5
40.20	869	63.7F	9.5
40.25	868	63.7F	9.5
40.30	865	63.7F	9.5
40.35	864	63.7F	9.5
40.40	861	63.7F	9.5
40.45	860	63.7F	9.5
40.50	860	63.7F	9.5
40.55	858	63.7F	9.5
40.60	858	63.7F	9.5
40.65	856	63.7F	9.5
40.70	855	63.7F	9.5
40.75	855	63.7F	9.5
40.80	853	63.7F	9.5
40.85	852	63.7F	9.5
40.90	851	63.7F	9.5
40.95	851	63.7F	9.5
41.00	849	63.8F	9.5
41.05	848	63.8F	9.5
41.10	846	63.7F	9.5
41.15	846	63.7F	9.5
41.20	844	63.8F	9.5
41.25	845	63.7F	9.5
41.30	842	63.7F	9.5
41.35	840	63.8F	9.5
41.40	839	63.8F	9.5
41.45	837	63.8F	9.5
41.50	837	63.7F	9.5
41.55	836	63.7F	9.5
41.60	836	63.7F	9.5
41.65	834	63.8F	9.5
41.70	834	63.7F	9.5
41.75	831	63.7F	9.5
41.80	830	63.7F	9.5
41.85	829	63.7F	9.5
41.90	828	63.7F	9.5
41.95	827	63.7F	9.5
42.00	827	63.7F	9.5
42.05	826	63.7F	9.5
42.10	824	63.7F	9.5
42.15	823	63.7F	9.5
42.20	820	63.7F	9.5
42.25	819	63.7F	9.5
42.30	816	63.7F	9.5
42.35	816	63.7F	9.5
42.40	815	63.7F	9.5
42.45	813	63.7F	9.5
42.50	812	63.7F	9.5
42.55	811	63.7F	9.5
42.60	810	63.8F	9.5
42.65	809	63.7F	9.5
42.70	807	63.7F	9.5
42.75	807	63.8F	9.5
42.80	806	63.7F	9.5
42.85	807	63.7F	9.5
42.90	805	63.8F	9.5
42.95	804	63.7F	9.5
43.00	801	63.7F	9.5
43.05	799	63.8F	9.5
43.10	799	63.8F	9.5
43.15	800	63.8F	9.5
43.20	798	63.8F	9.5
43.25	797	63.7F	9.5
43.30	796	63.8F	9.5
43.35	795	63.8F	9.5
43.40	794	63.8F	9.5
43.45	791	63.8F	9.5
43.50	789	63.8F	9.5
43.55	787	63.8F	9.5
43.60	786	63.8F	9.5
43.65	785	63.8F	9.5
43.70	783	63.8F	9.5
43.75	781	63.8F	9.5
43.80	780	63.8F	9.5
43.85	778	63.8F	9.5
43.90	778	63.8F	9.5
43.95	777	63.8F	9.5
44.00	777	63.8F	9.5
