serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,351.81,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.1875,-0.8125,-1,TRUE
11047,352.82,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.1875,-1,-2,TRUE
11047,353.83,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,354.84,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.375,-1.125,-2,TRUE
11047,355.85,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.6875,-1,-2,TRUE
11047,356.86,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.125,-1.0625,-1,TRUE
11047,357.87,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.625,-1.125,-1,TRUE
11047,358.88,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.375,-1.1875,-2,TRUE
11047,359.89,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.375,-1.1875,-1,TRUE
11047,360.9,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.1875,-1,-1,TRUE
11047,361.91,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.375,-0.875,-1,TRUE
11047,362.92,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-1,-1.0625,-2,TRUE
11047,363.93,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.1875,-1,-1,TRUE
11047,364.94,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.6875,-1,-1,TRUE
11047,365.95,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.3125,-1.0625,-1,TRUE
11047,366.96,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.375,-1,-1,TRUE
11047,367.97,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97657,-29,-29,10,-0.375,-1.0625,-1,TRUE
11047,368.98,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.375,-1.125,-1,TRUE
11047,369.99,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-1.125,-2,TRUE
11047,371,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-1.0625,-1,TRUE
11047,372.01,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,373.02,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.1875,-0.875,-1,TRUE
11047,374.03,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.8125,-1,-2,TRUE
11047,375.04,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-0.875,-1,TRUE
11047,376.05,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.125,-0.9375,-2,TRUE
11047,377.06,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-0.8125,-1,TRUE
11047,378.07,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.6875,-0.75,-1,TRUE
11047,379.08,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5625,-0.875,-2,TRUE
11047,380.09,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.3125,-0.8125,-1,TRUE
11047,381.1,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.75,-1,-1,TRUE
11047,382.11,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-1.0625,-2,TRUE
11047,383.12,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,0.125,-0.9375,-1,TRUE
11047,384.13,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.25,-0.875,-1,TRUE
11047,385.14,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-0.8125,-1,TRUE
11047,386.15,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-1,-2,TRUE
11047,387.16,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,388.17,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97659,-29,-29,10,-0.6875,-1,-1,TRUE
11047,389.18,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.25,-0.9375,-1,TRUE
11047,390.19,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.75,-0.8125,-1,TRUE
11047,391.2,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.75,0,TRUE
11047,392.21,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.25,-0.8125,0,TRUE
11047,393.22,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.5625,-0.875,0,TRUE
