Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-50-49-308,37.10132,-97.44032,387.88,26.89844,1.03516,0.03125,-0.02344,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80347,1.21277,-2.04041,0,KD9ZMJ,-110,8.375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-374,37.10132,-97.44032,387.88,26.89844,1.03516,0,-0.02344,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80347,1.21277,-2.04041,0,KD9ZMJ,-110,8.375,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-440,37.10132,-97.44032,387.88,26.89844,1.01953,0.01172,-0.05078,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80347,1.21277,-2.04041,0,KD9ZMJ,-110,8.375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-48,37.10132,-97.44032,387.88,26.88672,1.04688,-0.02344,-0.03906,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.625,-0.80237,1.21021,-2.04333,0,KD9ZMJ,-111,8.375,,,1002.3125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-505,37.10132,-97.44032,387.88,26.90625,1.01953,0.03125,-0.03516,,,,,1.54614,0.95801,-1.06409,1.375,-2.375,-0.625,-0.80408,1.20789,-2.04492,0,KD9ZMJ,-107,8.3125,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-569,37.10132,-97.44032,387.88,26.90625,1.03125,0.02344,-0.03906,,,,,1.54614,0.95801,-1.06409,1.375,-2.375,-0.625,-0.80408,1.20789,-2.04492,0,KD9ZMJ,-107,8.3125,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-634,37.10132,-97.44032,387.88,26.90625,1.03906,-0.02344,-0.02344,,,,,1.54614,0.95801,-1.06409,1.375,-2.375,-0.625,-0.80408,1.20789,-2.04492,0,KD9ZMJ,-107,8.3125,,,1002,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-701,37.10132,-97.44032,387.88,26.90625,1.03125,0.01563,-0.03516,,,,,1.54614,0.95801,-1.06409,1.375,-2.375,-0.625,-0.80408,1.20789,-2.04492,0,KD9ZMJ,-107,8.3125,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-766,37.10132,-97.44032,387.88,26.90625,1.03516,-0.01172,-0.03125,,,,,1.54614,0.95801,-1.06409,1.25,-2.375,-0.75,-0.80005,1.21045,-2.04077,0,KD9ZMJ,-107,8.1875,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-830,37.10132,-97.44032,387.88,26.90625,1.01172,0.02734,-0.03516,,,,,1.54614,0.95801,-1.06409,1.25,-2.375,-0.75,-0.80005,1.21045,-2.04077,0,KD9ZMJ,-107,8.1875,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
